-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                       cuLaunchKernelEx         0.09%       6.136ms         0.09%       6.136ms      11.822us       2.809ms         0.03%       2.809ms       5.412us           519  
                                   cudaDriverGetVersion         0.00%      54.344us         0.00%      54.344us       0.103us       2.605ms         0.03%       2.605ms       4.934us           528  
                                        cudaGraphLaunch         3.49%     232.286ms         3.60%     239.558ms     453.709us       2.547ms         0.03%       2.646ms       5.012us           528  
                                    cudaStreamWaitEvent         0.01%     888.146us         0.01%     888.146us       1.711us       2.446ms         0.03%       2.446ms       4.712us           519  
                                     triton_poi_fused_1         0.00%       0.000us         0.00%       0.000us       0.000us       2.409ms         0.03%       2.409ms       4.641us           519  
turing_fp16_s1688gemm_fp16_64x64_sliced1x4_ldg8_f2f_...         0.00%       0.000us         0.00%       0.000us       0.000us       1.555ms         0.02%       1.555ms      32.403us            48  
void cutlass::Kernel2<cutlass_75_wmma_tensorop_f16_s...         0.00%       0.000us         0.00%       0.000us       0.000us       1.377ms         0.02%       1.377ms      43.027us            32  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us       1.264ms         0.02%       1.264ms       2.435us           519  
triton_red_fused__to_copy_add_embedding_mean_mul_pow...         0.00%     262.614us         0.01%     374.174us      53.453us       1.156ms         0.01%       1.156ms     165.211us             7  
                                            aten::fill_         0.11%       7.166ms         0.26%      17.629ms      16.663us       1.115ms         0.01%       1.488ms       1.407us          1058  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us       1.109ms         0.01%       1.109ms       2.137us           519  
                                            aten::index         0.17%      11.526ms         0.58%      38.876ms      74.333us       1.049ms         0.01%       2.320ms       4.435us           523  
void at::native::vectorized_gather_kernel<16, long>(...         0.00%       0.000us         0.00%       0.000us       0.000us       1.032ms         0.01%       1.032ms       1.992us           518  
                                     triton_poi_fused_1         0.00%     198.270us         0.00%     268.607us      38.372us     947.038us         0.01%     947.038us     135.291us             7  
std::enable_if<!(false), void>::type internal::gemvx...         0.00%       0.000us         0.00%       0.000us       0.000us     881.438us         0.01%     881.438us     881.438us             1  
                              _copy_page_indices_kernel         0.00%       0.000us         0.00%       0.000us       0.000us     839.828us         0.01%     839.828us       1.618us           519  
                         Memcpy DtoH (Device -> Pinned)         0.00%       0.000us         0.00%       0.000us       0.000us     830.202us         0.01%     830.202us       1.600us           519  
                         Memcpy DtoD (Device -> Device)         0.00%       0.000us         0.00%       0.000us       0.000us     721.515us         0.01%     721.515us       1.404us           514  
                                              aten::sub         0.21%      14.304ms         0.38%      25.276ms      15.847us     595.464us         0.01%     597.096us       0.374us          1595  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us     595.464us         0.01%     595.464us       1.147us           519  
void at::native::vectorized_elementwise_kernel<2, at...         0.00%       0.000us         0.00%       0.000us       0.000us     558.402us         0.01%     558.402us       1.106us           505  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     550.940us         0.01%     550.940us       1.078us           511  
                                             cudaMalloc         0.01%     692.180us         0.01%     692.180us     346.090us     349.503us         0.00%     349.503us     174.751us             2  
                                Activity Buffer Request         0.14%       9.253ms         0.14%       9.253ms       1.322ms     284.832us         0.00%     284.832us      40.690us             7  
                                           Buffer Flush         0.04%       2.695ms         0.04%       2.696ms     336.981us     101.376us         0.00%     101.376us      12.672us             8  
                       Memcpy HtoD (Pageable -> Device)         0.00%       0.000us         0.00%       0.000us       0.000us      13.889us         0.00%      13.889us       0.604us            23  
void at::native::index_elementwise_kernel<128, 4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      10.432us         0.00%      10.432us       2.608us             4  
                                  Lazy Function Loading         0.94%      62.420ms         0.94%      62.420ms      10.403ms       9.120us         0.00%       9.120us       1.520us             6  
                                         aten::scatter_         0.00%      94.033us         1.06%      70.799ms      17.700ms       7.904us         0.00%      13.184us       3.296us             4  
void at::native::_scatter_gather_elementwise_kernel<...         0.00%       0.000us         0.00%       0.000us       0.000us       7.904us         0.00%       7.904us       1.976us             4  
void at::native::index_elementwise_kernel<128, 4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       6.143us         0.00%       6.143us       6.143us             1  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us       5.856us         0.00%       5.856us       0.976us             6  
                       Runtime Triggered Module Loading         0.13%       8.626ms         0.13%       8.626ms       4.313ms       3.520us         0.00%       3.520us       1.760us             2  
                 execute_context_1(512)_generation_0(0)         0.12%       8.162ms         0.27%      17.742ms      17.742ms       0.000us         0.00%       1.910ms       1.910ms             1  
                                            aten::slice         0.78%      52.066ms         1.00%      66.687ms       3.359us       0.000us         0.00%       0.000us       0.000us         19855  
                                       aten::as_strided         0.27%      18.266ms         0.27%      18.266ms       0.747us       0.000us         0.00%       0.000us       0.000us         24446  
                                       aten::lift_fresh         0.00%     175.546us         0.00%     175.546us       0.333us       0.000us         0.00%       0.000us       0.000us           527  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 6.654s
Self CUDA time total: 8.064s

