Name	Start	Duration	GPU	Context
void flashinfer::PersistentVariableLengthMergeStatesKernel<(unsigned int)8, (unsigned int)8, (unsigned int)16, (unsigned int)4, __half, __half, int>(T5 *, float *, T7 *, T6 *, float *, unsigned int, unsigned int *, unsigned int)	54.0821s	3.712 μs	GPU 0	Stream 7
turing_fp16_s1688gemm_fp16_256x128_ldg8_f2f_tn	54.0821s	874.525 μs	GPU 0	Stream 7
triton_red_fused__to_copy_add_mean_mul_pow_rsqrt_0	54.0829s	173.887 μs	GPU 0	Stream 7
turing_fp16_s1688gemm_fp16_256x128_ldg8_f2f_tn	54.0831s	6.231 ms	GPU 0	Stream 7
triton_poi_fused_mul_silu_slice_1	54.0893s	695.453 μs	GPU 0	Stream 7
turing_fp16_s1688gemm_fp16_256x128_ldg8_f2f_tn	54.09s	3.266 ms	GPU 0	Stream 7
triton_red_fused__to_copy_add_mean_mul_pow_rsqrt_2	54.0933s	292.255 μs	GPU 0	Stream 7
turing_fp16_s1688gemm_fp16_256x128_ldg8_f2f_tn	54.0936s	1.214 ms	GPU 0	Stream 7
triton_poi_fused_3	54.0948s	151.039 μs	GPU 0	Stream 7
void vllm::reshape_and_cache_flash_kernel<unsigned short, unsigned short, (vllm::Fp8KVCacheDataType)0>(const T1 *, const T1 *, T2 *, T2 *, const long *, long, long, long, long, long, int, int, int, const float *, const float *, int)	54.095s	226.592 μs	GPU 0	Stream 7
void flashinfer::BatchPrefillWithPagedKVCacheKernel<flashinfer::KernelTraits<(flashinfer::MaskMode)1, (unsigned int)128, (unsigned int)2, (unsigned int)4, (unsigned int)4, (unsigned int)4, (unsigned int)4, (unsigned int)1, (flashinfer::PosEncodingMode)0, __half, __half, __half, float, int, flashinfer::DefaultAttention<(bool)0, (bool)0, (bool)0, (bool)0>>, PagedParams>(T2)	54.0952s	400.478 μs	GPU 0	Stream 7
void flashinfer::BatchPrefillWithPagedKVCacheKernel<flashinfer::KernelTraits<(flashinfer::MaskMode)0, (unsigned int)64, (unsigned int)1, (unsigned int)4, (unsigned int)4, (unsigned int)4, (unsigned int)4, (unsigned int)1, (flashinfer::PosEncodingMode)0, __half, __half, __half, float, int, flashinfer::DefaultAttention<(bool)0, (bool)0, (bool)0, (bool)0>>, PagedParams>(T2)	54.0956s	10.592 μs	GPU 0	Stream 7
void flashinfer::PersistentVariableLengthMergeStatesKernel<(unsigned int)8, (unsigned int)8, (unsigned int)16, (unsigned int)4, __half, __half, int>(T5 *, float *, T7 *, T6 *, float *, unsigned int, unsigned int *, unsigned int)	54.0956s	3.712 μs	GPU 0	Stream 7
turing_fp16_s1688gemm_fp16_256x128_ldg8_f2f_tn	54.0956s	873.661 μs	GPU 0	Stream 7
triton_red_fused__to_copy_add_mean_mul_pow_rsqrt_0	54.0965s	174.175 μs	GPU 0	Stream 7
turing_fp16_s1688gemm_fp16_256x128_ldg8_f2f_tn	54.0967s	6.225 ms	GPU 0	Stream 7
triton_poi_fused_mul_silu_slice_1	54.1029s	695.389 μs	GPU 0	Stream 7
turing_fp16_s1688gemm_fp16_256x128_ldg8_f2f_tn	54.1036s	3.279 ms	GPU 0	Stream 7
triton_red_fused__to_copy_add_mean_mul_pow_rsqrt_2	54.1069s	292.447 μs	GPU 0	Stream 7
turing_fp16_s1688gemm_fp16_256x128_ldg8_f2f_tn	54.1072s	1.213 ms	GPU 0	Stream 7
triton_poi_fused_3	54.1084s	151.136 μs	GPU 0	Stream 7
void vllm::reshape_and_cache_flash_kernel<unsigned short, unsigned short, (vllm::Fp8KVCacheDataType)0>(const T1 *, const T1 *, T2 *, T2 *, const long *, long, long, long, long, long, int, int, int, const float *, const float *, int)	54.1085s	226.271 μs	GPU 0	Stream 7
void flashinfer::BatchPrefillWithPagedKVCacheKernel<flashinfer::KernelTraits<(flashinfer::MaskMode)1, (unsigned int)128, (unsigned int)2, (unsigned int)4, (unsigned int)4, (unsigned int)4, (unsigned int)4, (unsigned int)1, (flashinfer::PosEncodingMode)0, __half, __half, __half, float, int, flashinfer::DefaultAttention<(bool)0, (bool)0, (bool)0, (bool)0>>, PagedParams>(T2)	54.1088s	400.382 μs	GPU 0	Stream 7
void flashinfer::BatchPrefillWithPagedKVCacheKernel<flashinfer::KernelTraits<(flashinfer::MaskMode)0, (unsigned int)64, (unsigned int)1, (unsigned int)4, (unsigned int)4, (unsigned int)4, (unsigned int)4, (unsigned int)1, (flashinfer::PosEncodingMode)0, __half, __half, __half, float, int, flashinfer::DefaultAttention<(bool)0, (bool)0, (bool)0, (bool)0>>, PagedParams>(T2)	54.1092s	10.592 μs	GPU 0	Stream 7
