Time	Total Time	Instances	Avg	Med	Min	Max	StdDev	Style	Range
0.0%	32.065 μs	1	32.065 μs	32.065 μs	32.065 μs	32.065 μs	0 ns	PushPop	:{'Module': 'LlamaForCausalLM.model.layers.2.input_layernorm', 'TrainableParams': {'weight': [2048]}, 'Inputs': [[99, 2048], [99, 2048]]}
0.0%	32.056 μs	1	32.056 μs	32.056 μs	32.056 μs	32.056 μs	0 ns	PushPop	:{'Module': 'LlamaForCausalLM.model.layers.8.input_layernorm', 'TrainableParams': {'weight': [2048]}, 'Inputs': [[1873, 2048], [1873, 2048]]}
0.0%	32.053 μs	1	32.053 μs	32.053 μs	32.053 μs	32.053 μs	0 ns	PushPop	:{'Module': 'LlamaForCausalLM.model.layers.9.input_layernorm', 'TrainableParams': {'weight': [2048]}, 'Inputs': [[1873, 2048], [1873, 2048]]}
0.0%	32.051 μs	1	32.051 μs	32.051 μs	32.051 μs	32.051 μs	0 ns	PushPop	:{'Module': 'LlamaForCausalLM.model.layers.12.input_layernorm', 'TrainableParams': {'weight': [2048]}, 'Inputs': [[512, 2048], [512, 2048]]}
0.0%	32.041 μs	1	32.041 μs	32.041 μs	32.041 μs	32.041 μs	0 ns	PushPop	:{'Module': 'LlamaForCausalLM.model.layers.11.post_attention_layernorm', 'TrainableParams': {'weight': [2048]}, 'Inputs': [[36, 2048], [36, 2048]]}
0.0%	32.035 μs	1	32.035 μs	32.035 μs	32.035 μs	32.035 μs	0 ns	PushPop	:{'Module': 'LlamaForCausalLM.model.layers.12.post_attention_layernorm', 'TrainableParams': {'weight': [2048]}, 'Inputs': [[99, 2048], [99, 2048]]}
0.0%	32.015 μs	1	32.015 μs	32.015 μs	32.015 μs	32.015 μs	0 ns	PushPop	:{'Module': 'LlamaForCausalLM.model.layers.7.input_layernorm', 'TrainableParams': {'weight': [2048]}, 'Inputs': [[52, 2048], [52, 2048]]}
0.0%	32.014 μs	1	32.014 μs	32.014 μs	32.014 μs	32.014 μs	0 ns	PushPop	:{'Module': 'LlamaForCausalLM.model.layers.3.post_attention_layernorm', 'TrainableParams': {'weight': [2048]}, 'Inputs': [[84, 2048], [84, 2048]]}
0.0%	32.010 μs	1	32.010 μs	32.010 μs	32.010 μs	32.010 μs	0 ns	PushPop	:{'Module': 'LlamaForCausalLM.model.layers.8.input_layernorm', 'TrainableParams': {'weight': [2048]}, 'Inputs': [[16, 2048], [16, 2048]]}
0.0%	31.987 μs	1	31.987 μs	31.987 μs	31.987 μs	31.987 μs	0 ns	PushPop	:{'Module': 'LlamaForCausalLM.model.layers.13.post_attention_layernorm', 'TrainableParams': {'weight': [2048]}, 'Inputs': [[36, 2048], [36, 2048]]}
0.0%	31.986 μs	1	31.986 μs	31.986 μs	31.986 μs	31.986 μs	0 ns	PushPop	:{'Module': 'LlamaForCausalLM.model.layers.6.post_attention_layernorm', 'TrainableParams': {'weight': [2048]}, 'Inputs': [[4, 2048], [4, 2048]]}
0.0%	31.984 μs	1	31.984 μs	31.984 μs	31.984 μs	31.984 μs	0 ns	PushPop	:{'Module': 'LlamaForCausalLM.model.layers.12.post_attention_layernorm', 'TrainableParams': {'weight': [2048]}, 'Inputs': [[36, 2048], [36, 2048]]}
0.0%	31.976 μs	1	31.976 μs	31.976 μs	31.976 μs	31.976 μs	0 ns	PushPop	:{'Module': 'LlamaForCausalLM.model.layers.14.post_attention_layernorm', 'TrainableParams': {'weight': [2048]}, 'Inputs': [[36, 2048], [36, 2048]]}
0.0%	31.974 μs	1	31.974 μs	31.974 μs	31.974 μs	31.974 μs	0 ns	PushPop	:{'Module': 'LlamaForCausalLM.model.layers.12.post_attention_layernorm', 'TrainableParams': {'weight': [2048]}, 'Inputs': [[20, 2048], [20, 2048]]}
0.0%	31.970 μs	1	31.970 μs	31.970 μs	31.970 μs	31.970 μs	0 ns	PushPop	:{'Module': 'LlamaForCausalLM.model.layers.7.input_layernorm', 'TrainableParams': {'weight': [2048]}, 'Inputs': [[99, 2048], [99, 2048]]}
0.0%	31.928 μs	1	31.928 μs	31.928 μs	31.928 μs	31.928 μs	0 ns	PushPop	:{'Module': 'LlamaForCausalLM.model.layers.4.input_layernorm', 'TrainableParams': {'weight': [2048]}, 'Inputs': [[99, 2048], [99, 2048]]}
0.0%	31.896 μs	1	31.896 μs	31.896 μs	31.896 μs	31.896 μs	0 ns	PushPop	:{'Module': 'LlamaForCausalLM.model.layers.14.input_layernorm', 'TrainableParams': {'weight': [2048]}, 'Inputs': [[1873, 2048], [1873, 2048]]}
0.0%	31.888 μs	1	31.888 μs	31.888 μs	31.888 μs	31.888 μs	0 ns	PushPop	:{'Module': 'LlamaForCausalLM.model.layers.8.input_layernorm', 'TrainableParams': {'weight': [2048]}, 'Inputs': [[36, 2048], [36, 2048]]}
0.0%	31.887 μs	1	31.887 μs	31.887 μs	31.887 μs	31.887 μs	0 ns	PushPop	:{'Module': 'LlamaForCausalLM.model.layers.12.post_attention_layernorm', 'TrainableParams': {'weight': [2048]}, 'Inputs': [[4, 2048], [4, 2048]]}
0.0%	31.883 μs	1	31.883 μs	31.883 μs	31.883 μs	31.883 μs	0 ns	PushPop	:{'Module': 'LlamaForCausalLM.model.layers.9.input_layernorm', 'TrainableParams': {'weight': [2048]}, 'Inputs': [[52, 2048], [52, 2048]]}
0.0%	31.879 μs	1	31.879 μs	31.879 μs	31.879 μs	31.879 μs	0 ns	PushPop	:{'Module': 'LlamaForCausalLM.model.layers.14.input_layernorm', 'TrainableParams': {'weight': [2048]}, 'Inputs': [[52, 2048], [52, 2048]]}
0.0%	31.868 μs	1	31.868 μs	31.868 μs	31.868 μs	31.868 μs	0 ns	PushPop	:{'Module': 'LlamaForCausalLM.model.layers.4.input_layernorm', 'TrainableParams': {'weight': [2048]}, 'Inputs': [[52, 2048], [52, 2048]]}
0.0%	31.859 μs	1	31.859 μs	31.859 μs	31.859 μs	31.859 μs	0 ns	PushPop	:{'Module': 'LlamaForCausalLM.model.layers.6.post_attention_layernorm', 'TrainableParams': {'weight': [2048]}, 'Inputs': [[20, 2048], [20, 2048]]}
0.0%	31.851 μs	1	31.851 μs	31.851 μs	31.851 μs	31.851 μs	0 ns	PushPop	:{'Module': 'LlamaForCausalLM.model.layers.7.input_layernorm', 'TrainableParams': {'weight': [2048]}, 'Inputs': [[36, 2048], [36, 2048]]}
0.0%	31.832 μs	1	31.832 μs	31.832 μs	31.832 μs	31.832 μs	0 ns	PushPop	:{'Module': 'LlamaForCausalLM.model.layers.10.input_layernorm', 'TrainableParams': {'weight': [2048]}, 'Inputs': [[20, 2048], [20, 2048]]}
0.0%	31.831 μs	1	31.831 μs	31.831 μs	31.831 μs	31.831 μs	0 ns	PushPop	:{'Module': 'LlamaForCausalLM.model.layers.10.input_layernorm', 'TrainableParams': {'weight': [2048]}, 'Inputs': [[68, 2048], [68, 2048]]}
0.0%	31.831 μs	1	31.831 μs	31.831 μs	31.831 μs	31.831 μs	0 ns	PushPop	:{'Module': 'LlamaForCausalLM.model.layers.14.post_attention_layernorm', 'TrainableParams': {'weight': [2048]}, 'Inputs': [[20, 2048], [20, 2048]]}
0.0%	31.799 μs	1	31.799 μs	31.799 μs	31.799 μs	31.799 μs	0 ns	PushPop	:{'Module': 'LlamaForCausalLM.model.layers.1.post_attention_layernorm', 'TrainableParams': {'weight': [2048]}, 'Inputs': [[68, 2048], [68, 2048]]}
0.0%	31.789 μs	1	31.789 μs	31.789 μs	31.789 μs	31.789 μs	0 ns	PushPop	:{'Module': 'LlamaForCausalLM.model.layers.5.input_layernorm', 'TrainableParams': {'weight': [2048]}, 'Inputs': [[68, 2048], [68, 2048]]}
0.0%	31.788 μs	1	31.788 μs	31.788 μs	31.788 μs	31.788 μs	0 ns	PushPop	:{'Module': 'LlamaForCausalLM.model.layers.2.post_attention_layernorm', 'TrainableParams': {'weight': [2048]}, 'Inputs': [[99, 2048], [99, 2048]]}
0.0%	31.780 μs	1	31.780 μs	31.780 μs	31.780 μs	31.780 μs	0 ns	PushPop	:{'Module': 'LlamaForCausalLM.model.layers.9.post_attention_layernorm', 'TrainableParams': {'weight': [2048]}, 'Inputs': [[20, 2048], [20, 2048]]}
0.0%	31.774 μs	1	31.774 μs	31.774 μs	31.774 μs	31.774 μs	0 ns	PushPop	:{'Module': 'LlamaForCausalLM.model.layers.15.post_attention_layernorm', 'TrainableParams': {'weight': [2048]}, 'Inputs': [[20, 2048], [20, 2048]]}
0.0%	31.770 μs	1	31.770 μs	31.770 μs	31.770 μs	31.770 μs	0 ns	PushPop	:{'Module': 'LlamaForCausalLM.model.layers.11.post_attention_layernorm', 'TrainableParams': {'weight': [2048]}, 'Inputs': [[20, 2048], [20, 2048]]}
0.0%	31.768 μs	1	31.768 μs	31.768 μs	31.768 μs	31.768 μs	0 ns	PushPop	:{'Module': 'LlamaForCausalLM.model.layers.4.post_attention_layernorm', 'TrainableParams': {'weight': [2048]}, 'Inputs': [[52, 2048], [52, 2048]]}
0.0%	31.742 μs	1	31.742 μs	31.742 μs	31.742 μs	31.742 μs	0 ns	PushPop	:{'Module': 'LlamaForCausalLM.model.layers.15.input_layernorm', 'TrainableParams': {'weight': [2048]}, 'Inputs': [[16, 2048], [16, 2048]]}
0.0%	31.739 μs	1	31.739 μs	31.739 μs	31.739 μs	31.739 μs	0 ns	PushPop	:{'Module': 'LlamaForCausalLM.model.layers.2.input_layernorm', 'TrainableParams': {'weight': [2048]}, 'Inputs': [[256, 2048], [256, 2048]]}
0.0%	31.739 μs	1	31.739 μs	31.739 μs	31.739 μs	31.739 μs	0 ns	PushPop	:{'Module': 'LlamaForCausalLM.model.layers.2.post_attention_layernorm', 'TrainableParams': {'weight': [2048]}, 'Inputs': [[84, 2048], [84, 2048]]}
0.0%	31.734 μs	1	31.734 μs	31.734 μs	31.734 μs	31.734 μs	0 ns	PushPop	:{'Module': 'LlamaForCausalLM.model.layers.14.post_attention_layernorm', 'TrainableParams': {'weight': [2048]}, 'Inputs': [[4, 2048], [4, 2048]]}
0.0%	31.728 μs	1	31.728 μs	31.728 μs	31.728 μs	31.728 μs	0 ns	PushPop	:{'Module': 'LlamaForCausalLM.model.layers.5.post_attention_layernorm', 'TrainableParams': {'weight': [2048]}, 'Inputs': [[20, 2048], [20, 2048]]}
0.0%	31.688 μs	1	31.688 μs	31.688 μs	31.688 μs	31.688 μs	0 ns	PushPop	:{'Module': 'LlamaForCausalLM.model.layers.7.input_layernorm', 'TrainableParams': {'weight': [2048]}, 'Inputs': [[16, 2048], [16, 2048]]}
0.0%	31.677 μs	1	31.677 μs	31.677 μs	31.677 μs	31.677 μs	0 ns	PushPop	:{'Module': 'LlamaForCausalLM.model.layers.3.input_layernorm', 'TrainableParams': {'weight': [2048]}, 'Inputs': [[4, 2048], [4, 2048]]}
0.0%	31.623 μs	1	31.623 μs	31.623 μs	31.623 μs	31.623 μs	0 ns	PushPop	:{'Module': 'LlamaForCausalLM.model.layers.2.input_layernorm', 'TrainableParams': {'weight': [2048]}, 'Inputs': [[52, 2048], [52, 2048]]}
0.0%	31.612 μs	1	31.612 μs	31.612 μs	31.612 μs	31.612 μs	0 ns	PushPop	:{'Module': 'LlamaForCausalLM.model.layers.8.input_layernorm', 'TrainableParams': {'weight': [2048]}, 'Inputs': [[52, 2048], [52, 2048]]}
0.0%	31.611 μs	1	31.611 μs	31.611 μs	31.611 μs	31.611 μs	0 ns	PushPop	:{'Module': 'LlamaForCausalLM.model.layers.6.input_layernorm', 'TrainableParams': {'weight': [2048]}, 'Inputs': [[20, 2048], [20, 2048]]}
0.0%	31.606 μs	1	31.606 μs	31.606 μs	31.606 μs	31.606 μs	0 ns	PushPop	:{'Module': 'LlamaForCausalLM.model.layers.9.post_attention_layernorm', 'TrainableParams': {'weight': [2048]}, 'Inputs': [[36, 2048], [36, 2048]]}
0.0%	31.578 μs	1	31.578 μs	31.578 μs	31.578 μs	31.578 μs	0 ns	PushPop	:{'Module': 'LlamaForCausalLM.model.layers.13.input_layernorm', 'TrainableParams': {'weight': [2048]}, 'Inputs': [[4, 2048], [4, 2048]]}
0.0%	31.576 μs	1	31.576 μs	31.576 μs	31.576 μs	31.576 μs	0 ns	PushPop	:{'Module': 'LlamaForCausalLM.model.layers.15.input_layernorm', 'TrainableParams': {'weight': [2048]}, 'Inputs': [[1873, 2048], [1873, 2048]]}
0.0%	31.573 μs	1	31.573 μs	31.573 μs	31.573 μs	31.573 μs	0 ns	PushPop	:{'Module': 'LlamaForCausalLM.model.layers.3.input_layernorm', 'TrainableParams': {'weight': [2048]}, 'Inputs': [[20, 2048], [20, 2048]]}
0.0%	31.572 μs	1	31.572 μs	31.572 μs	31.572 μs	31.572 μs	0 ns	PushPop	:{'Module': 'LlamaForCausalLM.model.layers.3.post_attention_layernorm', 'TrainableParams': {'weight': [2048]}, 'Inputs': [[68, 2048], [68, 2048]]}
0.0%	31.556 μs	1	31.556 μs	31.556 μs	31.556 μs	31.556 μs	0 ns	PushPop	:{'Module': 'LlamaForCausalLM.model.layers.13.input_layernorm', 'TrainableParams': {'weight': [2048]}, 'Inputs': [[52, 2048], [52, 2048]]}
0.0%	31.537 μs	1	31.537 μs	31.537 μs	31.537 μs	31.537 μs	0 ns	PushPop	:{'Module': 'LlamaForCausalLM.model.layers.3.post_attention_layernorm', 'TrainableParams': {'weight': [2048]}, 'Inputs': [[36, 2048], [36, 2048]]}
0.0%	31.528 μs	1	31.528 μs	31.528 μs	31.528 μs	31.528 μs	0 ns	PushPop	:{'Module': 'LlamaForCausalLM.model.layers.15.input_layernorm', 'TrainableParams': {'weight': [2048]}, 'Inputs': [[52, 2048], [52, 2048]]}
0.0%	31.521 μs	1	31.521 μs	31.521 μs	31.521 μs	31.521 μs	0 ns	PushPop	:{'Module': 'LlamaForCausalLM.model.layers.7.post_attention_layernorm', 'TrainableParams': {'weight': [2048]}, 'Inputs': [[36, 2048], [36, 2048]]}
0.0%	31.516 μs	1	31.516 μs	31.516 μs	31.516 μs	31.516 μs	0 ns	PushPop	:{'Module': 'LlamaForCausalLM.model.layers.12.input_layernorm', 'TrainableParams': {'weight': [2048]}, 'Inputs': [[256, 2048], [256, 2048]]}
0.0%	31.500 μs	1	31.500 μs	31.500 μs	31.500 μs	31.500 μs	0 ns	PushPop	:{'Module': 'LlamaForCausalLM.model.layers.9.input_layernorm', 'TrainableParams': {'weight': [2048]}, 'Inputs': [[16, 2048], [16, 2048]]}
0.0%	31.497 μs	1	31.497 μs	31.497 μs	31.497 μs	31.497 μs	0 ns	PushPop	:{'Module': 'LlamaForCausalLM.model.layers.1.post_attention_layernorm', 'TrainableParams': {'weight': [2048]}, 'Inputs': [[4, 2048], [4, 2048]]}
0.0%	31.496 μs	1	31.496 μs	31.496 μs	31.496 μs	31.496 μs	0 ns	PushPop	:{'Module': 'LlamaForCausalLM.model.layers.9.input_layernorm', 'TrainableParams': {'weight': [2048]}, 'Inputs': [[68, 2048], [68, 2048]]}
0.0%	31.473 μs	1	31.473 μs	31.473 μs	31.473 μs	31.473 μs	0 ns	PushPop	:{'Module': 'LlamaForCausalLM.model.layers.15.post_attention_layernorm', 'TrainableParams': {'weight': [2048]}, 'Inputs': [[84, 2048], [84, 2048]]}
0.0%	31.466 μs	1	31.466 μs	31.466 μs	31.466 μs	31.466 μs	0 ns	PushPop	:{'Module': 'LlamaForCausalLM.model.layers.4.input_layernorm', 'TrainableParams': {'weight': [2048]}, 'Inputs': [[36, 2048], [36, 2048]]}
0.0%	31.465 μs	1	31.465 μs	31.465 μs	31.465 μs	31.465 μs	0 ns	PushPop	:{'Module': 'LlamaForCausalLM.model.layers.2.input_layernorm', 'TrainableParams': {'weight': [2048]}, 'Inputs': [[68, 2048], [68, 2048]]}
0.0%	31.440 μs	1	31.440 μs	31.440 μs	31.440 μs	31.440 μs	0 ns	PushPop	:{'Module': 'LlamaForCausalLM.model.layers.11.input_layernorm', 'TrainableParams': {'weight': [2048]}, 'Inputs': [[36, 2048], [36, 2048]]}
0.0%	31.437 μs	1	31.437 μs	31.437 μs	31.437 μs	31.437 μs	0 ns	PushPop	:{'Module': 'LlamaForCausalLM.model.layers.13.input_layernorm', 'TrainableParams': {'weight': [2048]}, 'Inputs': [[20, 2048], [20, 2048]]}
0.0%	31.427 μs	1	31.427 μs	31.427 μs	31.427 μs	31.427 μs	0 ns	PushPop	:{'Module': 'LlamaForCausalLM.model.layers.7.post_attention_layernorm', 'TrainableParams': {'weight': [2048]}, 'Inputs': [[68, 2048], [68, 2048]]}
0.0%	31.423 μs	1	31.423 μs	31.423 μs	31.423 μs	31.423 μs	0 ns	PushPop	:{'Module': 'LlamaForCausalLM.model.layers.5.post_attention_layernorm', 'TrainableParams': {'weight': [2048]}, 'Inputs': [[84, 2048], [84, 2048]]}
0.0%	31.398 μs	1	31.398 μs	31.398 μs	31.398 μs	31.398 μs	0 ns	PushPop	:{'Module': 'LlamaForCausalLM.model.layers.13.post_attention_layernorm', 'TrainableParams': {'weight': [2048]}, 'Inputs': [[256, 2048], [256, 2048]]}
0.0%	31.376 μs	1	31.376 μs	31.376 μs	31.376 μs	31.376 μs	0 ns	PushPop	:{'Module': 'LlamaForCausalLM.model.layers.5.input_layernorm', 'TrainableParams': {'weight': [2048]}, 'Inputs': [[84, 2048], [84, 2048]]}
0.0%	31.375 μs	1	31.375 μs	31.375 μs	31.375 μs	31.375 μs	0 ns	PushPop	:{'Module': 'LlamaForCausalLM.model.layers.11.post_attention_layernorm', 'TrainableParams': {'weight': [2048]}, 'Inputs': [[99, 2048], [99, 2048]]}
0.0%	31.348 μs	1	31.348 μs	31.348 μs	31.348 μs	31.348 μs	0 ns	PushPop	:{'Module': 'LlamaForCausalLM.model.layers.9.input_layernorm', 'TrainableParams': {'weight': [2048]}, 'Inputs': [[36, 2048], [36, 2048]]}
0.0%	31.346 μs	1	31.346 μs	31.346 μs	31.346 μs	31.346 μs	0 ns	PushPop	:{'Module': 'LlamaForCausalLM.model.layers.14.post_attention_layernorm', 'TrainableParams': {'weight': [2048]}, 'Inputs': [[99, 2048], [99, 2048]]}
0.0%	31.340 μs	1	31.340 μs	31.340 μs	31.340 μs	31.340 μs	0 ns	PushPop	:{'Module': 'LlamaForCausalLM.model.layers.10.input_layernorm', 'TrainableParams': {'weight': [2048]}, 'Inputs': [[84, 2048], [84, 2048]]}
0.0%	31.306 μs	1	31.306 μs	31.306 μs	31.306 μs	31.306 μs	0 ns	PushPop	:{'Module': 'LlamaForCausalLM.model.layers.3.input_layernorm', 'TrainableParams': {'weight': [2048]}, 'Inputs': [[52, 2048], [52, 2048]]}
0.0%	31.294 μs	1	31.294 μs	31.294 μs	31.294 μs	31.294 μs	0 ns	PushPop	:{'Module': 'LlamaForCausalLM.model.layers.9.post_attention_layernorm', 'TrainableParams': {'weight': [2048]}, 'Inputs': [[256, 2048], [256, 2048]]}
0.0%	31.271 μs	1	31.271 μs	31.271 μs	31.271 μs	31.271 μs	0 ns	PushPop	:{'Module': 'LlamaForCausalLM.model.layers.10.input_layernorm', 'TrainableParams': {'weight': [2048]}, 'Inputs': [[36, 2048], [36, 2048]]}
0.0%	31.266 μs	1	31.266 μs	31.266 μs	31.266 μs	31.266 μs	0 ns	PushPop	:{'Module': 'LlamaForCausalLM.model.layers.3.input_layernorm', 'TrainableParams': {'weight': [2048]}, 'Inputs': [[36, 2048], [36, 2048]]}
0.0%	31.244 μs	1	31.244 μs	31.244 μs	31.244 μs	31.244 μs	0 ns	PushPop	:{'Module': 'LlamaForCausalLM.model.layers.15.post_attention_layernorm', 'TrainableParams': {'weight': [2048]}, 'Inputs': [[68, 2048], [68, 2048]]}
0.0%	31.243 μs	1	31.243 μs	31.243 μs	31.243 μs	31.243 μs	0 ns	PushPop	:{'Module': 'LlamaForCausalLM.model.layers.7.input_layernorm', 'TrainableParams': {'weight': [2048]}, 'Inputs': [[68, 2048], [68, 2048]]}
0.0%	31.240 μs	1	31.240 μs	31.240 μs	31.240 μs	31.240 μs	0 ns	PushPop	:{'Module': 'LlamaForCausalLM.model.layers.6.input_layernorm', 'TrainableParams': {'weight': [2048]}, 'Inputs': [[52, 2048], [52, 2048]]}
0.0%	31.238 μs	1	31.238 μs	31.238 μs	31.238 μs	31.238 μs	0 ns	PushPop	:{'Module': 'LlamaForCausalLM.model.layers.3.post_attention_layernorm', 'TrainableParams': {'weight': [2048]}, 'Inputs': [[256, 2048], [256, 2048]]}
0.0%	31.229 μs	1	31.229 μs	31.229 μs	31.229 μs	31.229 μs	0 ns	PushPop	:{'Module': 'LlamaForCausalLM.model.layers.10.post_attention_layernorm', 'TrainableParams': {'weight': [2048]}, 'Inputs': [[99, 2048], [99, 2048]]}
0.0%	31.217 μs	1	31.217 μs	31.217 μs	31.217 μs	31.217 μs	0 ns	PushPop	:{'Module': 'LlamaForCausalLM.model.layers.13.post_attention_layernorm', 'TrainableParams': {'weight': [2048]}, 'Inputs': [[68, 2048], [68, 2048]]}
0.0%	31.198 μs	1	31.198 μs	31.198 μs	31.198 μs	31.198 μs	0 ns	PushPop	:{'Module': 'LlamaForCausalLM.model.layers.10.post_attention_layernorm', 'TrainableParams': {'weight': [2048]}, 'Inputs': [[84, 2048], [84, 2048]]}
0.0%	31.187 μs	1	31.187 μs	31.187 μs	31.187 μs	31.187 μs	0 ns	PushPop	:{'Module': 'LlamaForCausalLM.model.layers.11.post_attention_layernorm', 'TrainableParams': {'weight': [2048]}, 'Inputs': [[68, 2048], [68, 2048]]}
0.0%	31.186 μs	1	31.186 μs	31.186 μs	31.186 μs	31.186 μs	0 ns	PushPop	:{'Module': 'LlamaForCausalLM.model.layers.2.input_layernorm', 'TrainableParams': {'weight': [2048]}, 'Inputs': [[84, 2048], [84, 2048]]}
0.0%	31.182 μs	1	31.182 μs	31.182 μs	31.182 μs	31.182 μs	0 ns	PushPop	:{'Module': 'LlamaForCausalLM.model.layers.11.input_layernorm', 'TrainableParams': {'weight': [2048]}, 'Inputs': [[68, 2048], [68, 2048]]}
0.0%	31.148 μs	1	31.148 μs	31.148 μs	31.148 μs	31.148 μs	0 ns	PushPop	:{'Module': 'LlamaForCausalLM.model.layers.9.input_layernorm', 'TrainableParams': {'weight': [2048]}, 'Inputs': [[84, 2048], [84, 2048]]}
0.0%	31.130 μs	1	31.130 μs	31.130 μs	31.130 μs	31.130 μs	0 ns	PushPop	:{'Module': 'LlamaForCausalLM.model.layers.7.post_attention_layernorm', 'TrainableParams': {'weight': [2048]}, 'Inputs': [[84, 2048], [84, 2048]]}
0.0%	31.123 μs	1	31.123 μs	31.123 μs	31.123 μs	31.123 μs	0 ns	PushPop	:{'Module': 'LlamaForCausalLM.model.layers.11.input_layernorm', 'TrainableParams': {'weight': [2048]}, 'Inputs': [[84, 2048], [84, 2048]]}
0.0%	31.108 μs	1	31.108 μs	31.108 μs	31.108 μs	31.108 μs	0 ns	PushPop	:{'Module': 'LlamaForCausalLM.model.layers.4.input_layernorm', 'TrainableParams': {'weight': [2048]}, 'Inputs': [[20, 2048], [20, 2048]]}
0.0%	31.088 μs	1	31.088 μs	31.088 μs	31.088 μs	31.088 μs	0 ns	PushPop	:{'Module': 'LlamaForCausalLM.model.layers.4.post_attention_layernorm', 'TrainableParams': {'weight': [2048]}, 'Inputs': [[36, 2048], [36, 2048]]}
0.0%	31.079 μs	1	31.079 μs	31.079 μs	31.079 μs	31.079 μs	0 ns	PushPop	:{'Module': 'LlamaForCausalLM.model.layers.15.input_layernorm', 'TrainableParams': {'weight': [2048]}, 'Inputs': [[99, 2048], [99, 2048]]}
0.0%	30.988 μs	1	30.988 μs	30.988 μs	30.988 μs	30.988 μs	0 ns	PushPop	:{'Module': 'LlamaForCausalLM.model.layers.5.input_layernorm', 'TrainableParams': {'weight': [2048]}, 'Inputs': [[4, 2048], [4, 2048]]}
0.0%	30.961 μs	1	30.961 μs	30.961 μs	30.961 μs	30.961 μs	0 ns	PushPop	:{'Module': 'LlamaForCausalLM.model.layers.8.post_attention_layernorm', 'TrainableParams': {'weight': [2048]}, 'Inputs': [[256, 2048], [256, 2048]]}
0.0%	30.955 μs	1	30.955 μs	30.955 μs	30.955 μs	30.955 μs	0 ns	PushPop	:{'Module': 'LlamaForCausalLM.model.layers.1.post_attention_layernorm', 'TrainableParams': {'weight': [2048]}, 'Inputs': [[256, 2048], [256, 2048]]}
0.0%	30.933 μs	1	30.933 μs	30.933 μs	30.933 μs	30.933 μs	0 ns	PushPop	:{'Module': 'LlamaForCausalLM.model.layers.5.post_attention_layernorm', 'TrainableParams': {'weight': [2048]}, 'Inputs': [[256, 2048], [256, 2048]]}
0.0%	30.909 μs	1	30.909 μs	30.909 μs	30.909 μs	30.909 μs	0 ns	PushPop	:{'Module': 'LlamaForCausalLM.model.layers.12.post_attention_layernorm', 'TrainableParams': {'weight': [2048]}, 'Inputs': [[52, 2048], [52, 2048]]}
0.0%	30.900 μs	1	30.900 μs	30.900 μs	30.900 μs	30.900 μs	0 ns	PushPop	:{'Module': 'LlamaForCausalLM.model.layers.9.post_attention_layernorm', 'TrainableParams': {'weight': [2048]}, 'Inputs': [[84, 2048], [84, 2048]]}
0.0%	30.884 μs	1	30.884 μs	30.884 μs	30.884 μs	30.884 μs	0 ns	PushPop	:{'Module': 'LlamaForCausalLM.model.layers.2.input_layernorm', 'TrainableParams': {'weight': [2048]}, 'Inputs': [[20, 2048], [20, 2048]]}
0.0%	30.883 μs	1	30.883 μs	30.883 μs	30.883 μs	30.883 μs	0 ns	PushPop	:{'Module': 'LlamaForCausalLM.model.layers.1.post_attention_layernorm', 'TrainableParams': {'weight': [2048]}, 'Inputs': [[36, 2048], [36, 2048]]}
0.0%	30.869 μs	1	30.869 μs	30.869 μs	30.869 μs	30.869 μs	0 ns	PushPop	:{'Module': 'LlamaForCausalLM.model.layers.3.input_layernorm', 'TrainableParams': {'weight': [2048]}, 'Inputs': [[99, 2048], [99, 2048]]}
0.0%	30.862 μs	1	30.862 μs	30.862 μs	30.862 μs	30.862 μs	0 ns	PushPop	:{'Module': 'LlamaForCausalLM.model.norm', 'TrainableParams': {'weight': [2048]}, 'Inputs': [[20, 2048], [20, 2048]]}
0.0%	30.832 μs	1	30.832 μs	30.832 μs	30.832 μs	30.832 μs	0 ns	PushPop	:{'Module': 'LlamaForCausalLM.model.layers.15.input_layernorm', 'TrainableParams': {'weight': [2048]}, 'Inputs': [[20, 2048], [20, 2048]]}
0.0%	30.827 μs	1	30.827 μs	30.827 μs	30.827 μs	30.827 μs	0 ns	PushPop	:{'Module': 'LlamaForCausalLM.model.norm', 'TrainableParams': {'weight': [2048]}, 'Inputs': [[256, 2048], [256, 2048]]}
0.0%	30.826 μs	1	30.826 μs	30.826 μs	30.826 μs	30.826 μs	0 ns	PushPop	:{'Module': 'LlamaForCausalLM.model.layers.8.post_attention_layernorm', 'TrainableParams': {'weight': [2048]}, 'Inputs': [[84, 2048], [84, 2048]]}
0.0%	30.808 μs	1	30.808 μs	30.808 μs	30.808 μs	30.808 μs	0 ns	PushPop	:{'Module': 'LlamaForCausalLM.model.layers.5.input_layernorm', 'TrainableParams': {'weight': [2048]}, 'Inputs': [[36, 2048], [36, 2048]]}
0.0%	30.802 μs	1	30.802 μs	30.802 μs	30.802 μs	30.802 μs	0 ns	PushPop	:{'Module': 'LlamaForCausalLM.model.layers.15.input_layernorm', 'TrainableParams': {'weight': [2048]}, 'Inputs': [[256, 2048], [256, 2048]]}
0.0%	30.770 μs	1	30.770 μs	30.770 μs	30.770 μs	30.770 μs	0 ns	PushPop	:{'Module': 'LlamaForCausalLM.model.layers.8.input_layernorm', 'TrainableParams': {'weight': [2048]}, 'Inputs': [[84, 2048], [84, 2048]]}
