Time	Total Time	Instances	Avg	Med	Min	Max	StdDev	Style	Range
0.5%	137.476 ms	504	272.770 μs	269.306 μs	249.229 μs	803.773 μs	27.872 μs	PushPop	:{'Module': 'LlamaForCausalLM.model.layers.11.mlp', 'Inputs': [[100, 2048]]}
0.5%	137.213 ms	504	272.248 μs	269.617 μs	248.719 μs	787.752 μs	26.567 μs	PushPop	:{'Module': 'LlamaForCausalLM.model.layers.2.mlp', 'Inputs': [[100, 2048]]}
0.5%	137.206 ms	504	272.234 μs	269.787 μs	249.197 μs	500.788 μs	17.688 μs	PushPop	:{'Module': 'LlamaForCausalLM.model.layers.10.mlp', 'Inputs': [[100, 2048]]}
0.4%	136.938 ms	504	271.702 μs	268.373 μs	250.565 μs	352.194 μs	14.488 μs	PushPop	:{'Module': 'LlamaForCausalLM.model.layers.14.mlp', 'Inputs': [[100, 2048]]}
0.4%	136.895 ms	504	271.616 μs	268.928 μs	249.162 μs	322.049 μs	14.308 μs	PushPop	:{'Module': 'LlamaForCausalLM.model.layers.6.mlp', 'Inputs': [[100, 2048]]}
0.4%	136.794 ms	504	271.416 μs	268.351 μs	249.904 μs	356.201 μs	14.303 μs	PushPop	:{'Module': 'LlamaForCausalLM.model.layers.3.mlp', 'Inputs': [[100, 2048]]}
0.4%	136.608 ms	504	271.047 μs	268.885 μs	248.202 μs	334.360 μs	13.277 μs	PushPop	:{'Module': 'LlamaForCausalLM.model.layers.4.mlp', 'Inputs': [[100, 2048]]}
0.4%	136.587 ms	504	271.005 μs	267.593 μs	249.945 μs	333.959 μs	14.219 μs	PushPop	:{'Module': 'LlamaForCausalLM.model.layers.15.mlp', 'Inputs': [[100, 2048]]}
0.4%	136.436 ms	504	270.706 μs	267.975 μs	249.944 μs	446.515 μs	15.496 μs	PushPop	:{'Module': 'LlamaForCausalLM.model.layers.12.mlp', 'Inputs': [[100, 2048]]}
0.4%	135.933 ms	504	269.709 μs	267.623 μs	249.974 μs	317.819 μs	12.817 μs	PushPop	:{'Module': 'LlamaForCausalLM.model.layers.5.mlp', 'Inputs': [[100, 2048]]}
0.3%	101.853 ms	504	202.089 μs	201.231 μs	180.193 μs	260.292 μs	12.243 μs	PushPop	:{'Module': 'LlamaForCausalLM.model.layers.0.self_attn.attn', 'Inputs': [[100, 2048], [100, 512], [100, 512]]}
0.3%	96.611 ms	504	191.689 μs	189.807 μs	174.969 μs	283.193 μs	11.958 μs	PushPop	:{'Module': 'LlamaForCausalLM.model.layers.1.self_attn.attn', 'Inputs': [[100, 2048], [100, 512], [100, 512]]}
0.3%	95.695 ms	504	189.870 μs	188.528 μs	174.964 μs	241.769 μs	10.215 μs	PushPop	:{'Module': 'LlamaForCausalLM.model.layers.8.self_attn.attn', 'Inputs': [[100, 2048], [100, 512], [100, 512]]}
0.3%	95.665 ms	504	189.811 μs	187.469 μs	173.794 μs	434.377 μs	15.353 μs	PushPop	:{'Module': 'LlamaForCausalLM.model.layers.7.self_attn.attn', 'Inputs': [[100, 2048], [100, 512], [100, 512]]}
